date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:59	30/30	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2007:14:19%20GMT	https://p.w3layouts.com/robots.txt		(from )
11:45:59	54540/54540	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Sep%202018%2005:14:01%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/index.html	(from )
11:46:00	178152/178152	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-2b7e8%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/bootstrap.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:00	9374/9374	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-249e%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/component.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/component.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:01	29803/29803	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-746b%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/style.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:01	1212/1212	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-4bc%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/owl.theme.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/owl.theme.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:01	4023/4023	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-fb7%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/owl.carousel.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/owl.carousel.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:02	8956/8956	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-22fc%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/minimal-slider.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/minimal-slider.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:02	43229/43229	---MCZ	200	added ('OK')	text/css	etag:W/%225b8cc319-a8dd%22	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/fontawesome-all.css	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/css/fontawesome-all.css	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
11:46:03	54540/54540	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Sep%202018%2005:14:01%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/index.html	C:/Users/LUISE%20RANK/Desktop/web%20templates/My%20web%20project/p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/index-2.html	(from https://p.w3layouts.com/demos_new/template_demo/03-09-2018/arable_demo_Free/1791219992/web/)
